Latitude,Longitude,Street,City,PostalCode
43.029945,10.604386,Viale della Fiera,Campiglia Marittima,57021
43.0311,10.60285,Viale della Fiera,Campiglia Marittima,57021
43.03314,10.60463,Viale della Fiera,Campiglia Marittima,57021
43.03407,10.60466,Viale della Fiera,Campiglia Marittima,57021
43.03457,10.60511,Via Suveretana,Campiglia Marittima,57021
43.03463,10.60464,Via Suveretana,Campiglia Marittima,57021
43.03537,10.60401,Via Suveretana,Campiglia Marittima,57021
43.03569,10.60399,Via Suveretana,Campiglia Marittima,57021
43.03656,10.6048,Via Suveretana,Campiglia Marittima,57021
43.03723,10.60403,Via Suveretana,Campiglia Marittima,57021
43.03742,10.60186,Via Suveretana,Campiglia Marittima,57021
43.03803,10.60256,Via Suveretana,Campiglia Marittima,57021
43.03867,10.60496,Via Suveretana,Campiglia Marittima,57021
43.03875,10.60623,Via Suveretana,Campiglia Marittima,57021
43.03906,10.60706,Via di Venturina,Campiglia Marittima,57021
43.03926,10.6094,Via di Venturina,Campiglia Marittima,57021
43.03982,10.61035,Via di Venturina,Campiglia Marittima,57021
43.04039,10.6103,Via di Venturina,Campiglia Marittima,57021
43.0406,10.61163,Via di Venturina,Campiglia Marittima,57021
43.04362,10.61259,Via del Mercurio,Campiglia Marittima,57021
43.04522,10.61238,Via del Mercurio,Campiglia Marittima,57021
43.04591,10.61324,Via del Mercurio,Campiglia Marittima,57021
43.0484,10.61347,Via del Mercurio,Campiglia Marittima,57021
43.04926,10.61421,Via del Mercurio,Campiglia Marittima,57021
43.05015,10.61407,Via del Mercurio,Campiglia Marittima,57021
43.05049,10.61349,Via del Mercurio,Campiglia Marittima,57021
43.05153,10.61373,Via del Mercurio,Campiglia Marittima,57021
43.05232,10.61342,Via del Mercurio,Campiglia Marittima,57021
43.05359,10.61389,Via di Cafaggio,Campiglia Marittima,57029
43.0533,10.61317,Via di Cafaggio,Campiglia Marittima,57029
43.05334,10.61298,Via di Cafaggio,Campiglia Marittima,57029
43.05361,10.61285,Via di Cafaggio,Campiglia Marittima,57029
43.05385,10.61398,Via di Cafaggio,Campiglia Marittima,57029
43.05434,10.61482,Via di Cafaggio,Campiglia Marittima,57029
43.0545,10.61562,Via di Cafaggio,Campiglia Marittima,57029
43.0547,10.6157,Via di Cafaggio,Campiglia Marittima,57029
43.05684,10.61487,Via di Cafaggio,Campiglia Marittima,57029
43.05772,10.61504,Via di Cafaggio,Campiglia Marittima,57029
43.05898,10.61432,Via di Venturina,Campiglia Marittima,57029
43.06081,10.61453,Via di Venturina,Campiglia Marittima,57029
43.06062,10.615,Via di Venturina,Campiglia Marittima,57029
43.06081,10.61591,Via di Venturina,Campiglia Marittima,57029
43.05981,10.61683,Via di Venturina,Campiglia Marittima,57029
43.05924,10.61689,Via di Venturina,Campiglia Marittima,57029
43.0588,10.6173,Via di Venturina,Campiglia Marittima,57029
43.05934,10.6174,Via di Venturina,Campiglia Marittima,57029
43.05946,10.61757,Via di Venturina,Campiglia Marittima,57029
43.05964,10.61924,Via di Venturina,Campiglia Marittima,57029
43.05989,10.61997,Via di Venturina,Campiglia Marittima,57029
43.05945,10.62156,Via della Libertà,Campiglia Marittima,57029
43.059849,10.62299,Via della Libertà,Campiglia Marittima,57029
43.059656,10.624361,Via della Libertà,Campiglia Marittima,57029
43.060307,10.624997,Via della Libertà,Campiglia Marittima,57029
43.060571,10.625818,Via della Libertà,Campiglia Marittima,57029
43.061474,10.625903,Via della Libertà,Campiglia Marittima,57029
43.061335,10.627439,Unbekannte Straße,Campiglia Marittima,57029
43.061725,10.627876,Unbekannte Straße,Campiglia Marittima,57029
43.062101,10.628673,Unbekannte Straße,Campiglia Marittima,57029
43.06236,10.628838,Unbekannte Straße,Campiglia Marittima,57029
43.062582,10.628784,Unbekannte Straße,Campiglia Marittima,57029
43.063117,10.62828,Unbekannte Straße,Campiglia Marittima,57029
43.063393,10.628295,Unbekannte Straße,Campiglia Marittima,57029
43.064212,10.630192,Unbekannte Straße,Campiglia Marittima,57029
43.064982,10.630694,Unbekannte Straße,Campiglia Marittima,57029
43.065496,10.631791,Unbekannte Straße,Campiglia Marittima,57029
43.06588,10.631721,Unbekannte Straße,Campiglia Marittima,57029
43.066595,10.630842,Unbekannte Straße,Campiglia Marittima,57029
43.067495,10.631314,Unbekannte Straße,Campiglia Marittima,57029
43.0687,10.631123,Unbekannte Straße,Campiglia Marittima,57029
43.069988,10.631659,Unbekannte Straße,Campiglia Marittima,57029
43.070883,10.6314,Unbekannte Straße,Campiglia Marittima,57029
43.07108,10.631599,Unbekannte Straße,Campiglia Marittima,57029
43.071271,10.632549,Unbekannte Straße,Campiglia Marittima,57029
43.071888,10.633299,Unbekannte Straße,Campiglia Marittima,57029
43.072278,10.633298,Unbekannte Straße,Campiglia Marittima,57029
43.072784,10.63298,Unbekannte Straße,Campiglia Marittima,57029
43.073026,10.633057,Unbekannte Straße,Campiglia Marittima,57029
43.072946,10.63407,Unbekannte Straße,Campiglia Marittima,57029
43.072308,10.635884,Unbekannte Straße,Campiglia Marittima,57029
43.072393,10.63634,Unbekannte Straße,Campiglia Marittima,57029
43.073808,10.639315,Unbekannte Straße,Suvereto,57029
43.074415,10.638877,Unbekannte Straße,Suvereto,57029
43.074897,10.639057,Unbekannte Straße,Suvereto,57029
43.07519,10.638951,Unbekannte Straße,Suvereto,57029
43.075643,10.638271,Unbekannte Straße,Suvereto,57029
43.075804,10.637357,Unbekannte Straße,Suvereto,57029
43.076784,10.636425,Unbekannte Straße,Suvereto,57029
43.077029,10.636557,Unbekannte Straße,Suvereto,57029
43.077428,10.638832,Unbekannte Straße,Suvereto,57029
43.078198,10.640259,Unbekannte Straße,Suvereto,57029
43.078468,10.64026,Sentiero 3,Suvereto,57029
43.078638,10.640004,Sentiero 3,Suvereto,57029
43.079562,10.637637,Sentiero 3,Suvereto,57029
43.079844,10.637744,Sentiero 3,Suvereto,57029
43.080831,10.640031,Sentiero 3,Suvereto,57029
43.081406,10.640428,Sentiero 3,Suvereto,57029
43.081846,10.640477,Sentiero 3,Suvereto,57029
43.082403,10.640303,Sentiero 3,Suvereto,57029
43.083189,10.639359,(sentiero 3) trekking,Suvereto,57029
43.083318,10.639001,(sentiero 3) trekking,Suvereto,57029
43.084029,10.639596,(sentiero 3) trekking,Suvereto,57029
43.085391,10.63986,(sentiero 3) trekking,Suvereto,57029
43.086125,10.63935,(sentiero 3) trekking,Suvereto,57029
43.085654,10.640283,(sentiero 3) trekking,Suvereto,57029
43.085592,10.641755,(sentiero 3) trekking,Suvereto,57029
43.085118,10.643877,(sentiero 3) trekking,Suvereto,57029
43.085388,10.643858,(sentiero 3) trekking,Suvereto,57029
43.085786,10.64341,(sentiero 3) trekking,Suvereto,57029
43.086211,10.64335,(sentiero 3) trekking,Suvereto,57029
43.085632,10.644937,Località Le Foreste,Suvereto,57029
43.084934,10.646066,Località Le Foreste,Suvereto,57029
43.084245,10.646841,Località Le Foreste,Suvereto,57029
43.083787,10.648458,Località Le Foreste,Suvereto,57029
43.082665,10.650359,Località Il Fiaccone,Suvereto,57029
43.082585,10.651485,Località Il Fiaccone,Suvereto,57029
43.083436,10.652789,Località Il Fiaccone,Suvereto,57029
43.083437,10.653699,Località Il Fiaccone,Suvereto,57029
43.083145,10.655393,Località Il Fiaccone,Suvereto,57029
43.082498,10.656146,Località Il Fiaccone,Suvereto,57029
43.081893,10.656435,Località Il Fiaccone,Suvereto,57029
43.081661,10.657399,Località Il Fiaccone,Suvereto,57029
43.07839,10.658581,Località Il Fiaccone,Suvereto,57029
43.074969,10.659374,Località Il Fiaccone,Suvereto,57029
43.074932,10.664271,Località Il Fiaccone,Suvereto,57029
43.074431,10.665123,Località Il Fiaccone,Suvereto,57029
43.074419,10.666354,Località Quattrino,Suvereto,57029
43.074556,10.666955,Località Quattrino,Suvereto,57029
43.075238,10.667923,Località Quattrino,Suvereto,57029
43.075349,10.668881,Località Quattrino,Suvereto,57029
43.075793,10.669486,Località Quattrino,Suvereto,57029
43.07604,10.670235,Località Quattrino,Suvereto,57029
43.075788,10.6745,Località Quattrino,Suvereto,57028
43.075682,10.674738,Località Quattrino,Suvereto,57028
43.075065,10.674799,Località Quattrino,Suvereto,57028
43.074949,10.675057,Località Quattrino,Suvereto,57028
43.075943,10.677421,Località Quattrino,Suvereto,57028
43.076648,10.678324,Località Quattrino,Suvereto,57028
43.07704,10.680449,Via Val di Cornia,Suvereto,57028
43.076569,10.681103,Via Val di Cornia,Suvereto,57028
43.075955,10.681255,Via Val di Cornia,Suvereto,57028
43.075321,10.682161,Via Val di Cornia,Suvereto,57028
43.075553,10.684672,Via Val di Cornia,Suvereto,57028
43.075295,10.685255,Via Val di Cornia,Suvereto,57028
43.075451,10.685973,Via Val di Cornia,Suvereto,57028
43.075428,10.689387,Via Val di Cornia,Suvereto,57028
43.074617,10.689932,Via Val di Cornia,Suvereto,57028
43.073756,10.690969,Via Val di Cornia,Suvereto,57028
43.073667,10.691888,Via Val di Cornia,Suvereto,57028
43.073142,10.69343,Via Val di Cornia,Suvereto,57028
43.072211,10.695695,Unbekannte Straße,Suvereto,57028
43.071369,10.696885,Unbekannte Straße,Suvereto,57028
43.070742,10.696917,Unbekannte Straße,Suvereto,57028
43.070142,10.697191,Unbekannte Straße,Suvereto,57028
43.070065,10.69709,Unbekannte Straße,Suvereto,57028
43.068862,10.692571,Unbekannte Straße,Suvereto,57028
43.068563,10.692029,Unbekannte Straße,Suvereto,57028
43.068085,10.6918,Unbekannte Straße,Suvereto,57028
43.067629,10.691952,Unbekannte Straße,Suvereto,57028
43.067264,10.691557,Unbekannte Straße,Suvereto,57028
43.067,10.691541,Unbekannte Straße,Suvereto,57028
43.065991,10.692131,Unbekannte Straße,Suvereto,57028
43.065684,10.692587,Unbekannte Straße,Suvereto,57028
43.064598,10.69355,Unbekannte Straße,Suvereto,57028
